Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 101,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[100].stims[0],A psychologist measures the number of times a person smiles during a 10-minute video. What type of random variable is being measured?,Choice pool (runtime order randomized): Discrete Random Variable || Continuous Random Variable || Categorical Random Variable || Ordinal Random Variable,Discrete Random Variable,Correct,Yes,Discrete Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 102,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[101].stims[0],"In a study on happiness, researchers categorize responses as ‘Very Unhappy,’ ‘Unhappy,’ ‘Neutral,’ ‘Happy,’ and ‘Very Happy.’ What type of random variable is this?",Choice pool (runtime order randomized): Ordinal Random Variable || Continuous Random Variable || Discrete Random Variable || Normal Random Variable,Ordinal Random Variable,Correct,Yes,Ordinal Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 103,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[102].stims[0],A psychological study measures the exact time in seconds that it takes for participants to complete a task. What type of random variable is being measured?,Choice pool (runtime order randomized): Continuous Random Variable || Discrete Random Variable || Categorical Random Variable || Ordinal Random Variable,Continuous Random Variable,Correct,Yes,Continuous Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 104,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[103].stims[0],"After conducting a study on stress levels in college students, a researcher creates graphs and charts to understand the data better. Which stage of the data lifecycle is the researcher in?",Choice pool (runtime order randomized): Exploratory Data Analysis || Producing Data || Inference || Probability,Exploratory Data Analysis,Correct,Yes,Exploratory Data Analysis,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 105,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[104].stims[0],Which of the following is the most common method used to simulate a discrete random variable in a classroom setting?,Choice pool (runtime order randomized): Rolling a die || Measuring the height of students || Timing how long it takes to solve a problem || Measuring a person's weight in kilograms,Rolling a die,Correct,Yes,Rolling a die,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 106,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[105].stims[0],"A study on therapy outcomes categorizes patient prior therapy as 'Cognitive Behavioral Therapy,' 'Psychodynamic Therapy,' and 'Humanistic Therapy.' What type of random variable is this?",Choice pool (runtime order randomized): Categorical Random Variable || Continuous Random Variable || Discrete Random Variable || Binomial Random Variable,Categorical Random Variable,Correct,Yes,Categorical Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 107,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[106].stims[0],"In a study to understand stress levels in high-stakes exams, the variable of interest is the ‘final score’ of each student. What type of random variable is this (assuming that there is no partial credit, and scores are whole numbers)?",Choice pool (runtime order randomized): Discrete Random Variable || Continuous Random Variable || Categorical Random Variable || Ordinal Random Variable,Discrete Random Variable,Correct,Yes,Discrete Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 108,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[107].stims[0],"In a study on dietary habits, people are categorized as ‘Vegan,’ ‘Vegetarian,’ ‘Pescatarian,’ and ‘Omnivore.’ What type of random variable is this?",Choice pool (runtime order randomized): Categorical Random Variable || Continuous Random Variable || Discrete Random Variable || Ordinal Random Variable,Categorical Random Variable,Correct,Yes,Categorical Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 109,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[108].stims[0],"In a clinical psychology study, patients are asked to rate their mood on a scale from 1 to 10. What type of random variable is this, assuming they can enter any decimals they want… e.g. a rating of 6.772?",Choice pool (runtime order randomized): Continuous Random Variable || Discrete Random Variable || Categorical Random Variable || Ordinal Random Variable,Continuous Random Variable,Correct,Yes,Continuous Random Variable,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 110,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[109].stims[0],"A psychologist is investigating the relationship between the number of hours spent studying and exam scores in a psychology course. After plotting the data points on a scatterplot, she observes a linear pattern. What is the next step in determining if there is a significant linear relationship between the two variables?",Choice pool (runtime order randomized): Conduct a t-test for the significance of the linear relationship || Calculate the mean and standard deviation of each variable || Compare the exam scores of students who studied for different amounts of time || Perform a chi-square test for independence,Conduct a t-test for the significance of the linear relationship,Correct,Yes,Conduct a t-test for the significance of the linear relationship,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 111,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[110].stims[0],"A researcher is examining the relationship between a person’s age and their reaction time. The scatterplot shows a clear linear pattern, and the correlation coefficient (r) is calculated to be 0.78. Which of the following statements best describes this result?",Choice pool (runtime order randomized): There is a strong positive linear relationship between age and reaction time || There is a weak negative linear relationship between age and reaction time || There is a weak positive linear relationship between age and reaction time || There is a strong negative linear relationship between age and reaction time,There is a strong positive linear relationship between age and reaction time,Correct,Yes,There is a strong positive linear relationship between age and reaction time,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 112,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[111].stims[0],A study is conducted to investigate the relationship between the number of hours of sleep per night and job performance ratings. The least squares regression line is found to be: PERFORMANCE = 2.5 + 0.4 * SLEEP. What does the slope of 0.4 represent?,"Choice pool (runtime order randomized): For every additional hour of sleep, job performance ratings increase by 0.4 points on average || The predicted job performance rating when an individual gets no sleep || For every additional point in job performance rating, sleep increases by 0.4 hours on average || The predicted job performance rating when an individual gets 1 hour of sleep","For every additional hour of sleep, job performance ratings increase by 0.4 points on average",Correct,Yes,"For every additional hour of sleep, job performance ratings increase by 0.4 points on average",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 113,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[112].stims[0],Which of the following is NOT an assumption of the t-test for the significance of the linear relationship between two quantitative variables?,Choice pool (runtime order randomized): The relationship between the variables must be causal || The data points follow a linear pattern || The data is obtained from a random sample of the population || The variance of the response variable is the same for all values of the explanatory variable,The relationship between the variables must be causal,Correct,Yes,The relationship between the variables must be causal,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 114,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[113].stims[0],A researcher wants to predict a student’s GPA based on the number of hours they spend on social media per week. What is the primary purpose of finding the least squares regression line in this context?,Choice pool (runtime order randomized): To estimate the GPA of a student based on their social media usage || To test if there is a significant difference in social media usage between students with high and low GPAs || To calculate the correlation coefficient between GPA and social media usage || To determine if there is a significant difference in GPA between students who use social media and those who don’t,To estimate the GPA of a student based on their social media usage,Correct,Yes,To estimate the GPA of a student based on their social media usage,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 115,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[114].stims[0],"A study finds that the correlation coefficient between the number of hours spent exercising per week and self-reported happiness levels is 0.85. However, upon further inspection, it is discovered that the data set includes an outlier where one individual reported exercising for 40 hours a week. What should the researcher do?",Choice pool (runtime order randomized): Remove the outlier and recalculate the correlation coefficient || Transform the data to minimize the impact of the outlier || Keep the outlier and interpret the results as they are || Disregard the correlation coefficient and focus solely on the scatterplot,Remove the outlier and recalculate the correlation coefficient,Incorrect,No,"The researcher should investigate the outlier, verify whether it is an error, and assess how influential it is; it should not be removed automatically just because it is extreme.",No,Logic flaw,No formula needed,Automatic deletion of outliers is bad statistical practice and can bias results.,Replace the keyed option with an option about investigating the point and comparing analyses with and without it.,"If deletion is intended, state that the value is known to be a data-entry error.",Revise concept/substance
Item 116,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[115].stims[0],"In a linear regression analysis, the null hypothesis states that:",Choice pool (runtime order randomized): The slope of the regression line is equal to 0 || The slope of the regression line is equal to 1 || The intercept of the regression line is equal to 0 || The correlation coefficient is equal to 0,The slope of the regression line is equal to 0,Ambiguous,Yes,The slope of the regression line is equal to 0,Yes,Ambiguity,No formula needed,"In simple linear regression, testing slope = 0 is equivalent to testing correlation = 0, so two answer choices are correct.",Replace the correlation option with something false in both simple and multiple regression settings.,"Specify ""simple linear regression"" or ask directly about the slope parameter.",Revise choices
Item 117,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[116].stims[0],"A psychologist is studying the relationship between the number of therapy sessions attended and the improvement in a patient’s anxiety levels. The scatterplot shows a linear pattern, and the least squares regression line is found to be: ANXIETYIMPROVEMENT = 10 + 2.5 * SESSIONS. If a patient attends 8 therapy sessions, what is their predicted anxiety improvement score?",Choice pool (runtime order randomized): 30 || 10 || 18 || 20,30,Correct,Yes,30,Yes,None,Okay via simple division/arithmetic,Keyed correctly; the required work is simple arithmetic rather than formula memorization.,,,Keep as is
Item 118,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[117].stims[0],A researcher is investigating the relationship between the number of hours spent playing video games per week (GAMINGHOURS) and academic performance (ACADEMICPERFORMANCE) among high school students. The least squares regression line is: ACADEMICPERFORMANCE = 90 - 1.5 * GAMINGHOURS. The data used to develop this model included students who played video games for up to 20 hours per week. What would be an example of extrapolation in this context?,Choice pool (runtime order randomized): Predicting the academic performance of a student who plays video games for 30 hours per week || Predicting the academic performance of a student who plays video games for 0 hours per week || Predicting the academic performance of a student who plays video games for 20 hours per week || Predicting the academic performance of a student who plays video games for 10 hours per week,Predicting the academic performance of a student who plays video games for 30 hours per week,Correct,Yes,Predicting the academic performance of a student who plays video games for 30 hours per week,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 119,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[118].stims[0],Which of the following statements is true about the least squares regression line?,Choice pool (runtime order randomized): It minimizes the sum of the squared vertical distances between the data points and the line || It minimizes the sum of the absolute vertical distances between the data points and the line || It minimizes the sum of the absolute horizontal distances between the data points and the line || It minimizes the sum of the squared horizontal distances between the data points and the line,It minimizes the sum of the squared vertical distances between the data points and the line,Correct,Yes,It minimizes the sum of the squared vertical distances between the data points and the line,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 120,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[119].stims[0],What is the purpose of the intercept (β₀) in the multiple regression equation?,Choice pool (runtime order randomized): It indicates the value of the dependent variable when all independent variables are set to zero. || It adjusts the slope of the regression line based on the scale of the independent variables. || It predicts the value of the dependent variable when all independent variables are at their mean values. || It represents the average effect of all independent variables on the dependent variable.,It indicates the value of the dependent variable when all independent variables are set to zero.,Correct,Yes,It indicates the value of the dependent variable when all independent variables are set to zero.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 121,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[120].stims[0],"When preparing data for multiple regression analysis, why is dummy coding used for categorical variables?",Choice pool (runtime order randomized): To allow for the inclusion of nominal variables by creating binary (0 or 1) variables. || To convert categorical variables into the dependent. || To increase the variability and predictive power of the model. || To ensure that all variables are on the same scale.,To allow for the inclusion of nominal variables by creating binary (0 or 1) variables.,Correct,Yes,To allow for the inclusion of nominal variables by creating binary (0 or 1) variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 122,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[121].stims[0],How does multiple regression analysis accommodate the different types of relationships between independent variables (both continuous and categorical) and the dependent variable?,Choice pool (runtime order randomized): Through the inclusion of quantitative terms for continuous variables and the use of dummy variables for categorical variables. || It assumes all relationships are non-linear and cannot model linear relationships without transformations. || It requires converting all categorical variables to continuous scales using complex encoding techniques. || It models only linear relationships and cannot include categorical variables or capture non-linear dynamics between variables.,Through the inclusion of quantitative terms for continuous variables and the use of dummy variables for categorical variables.,Correct,Yes,Through the inclusion of quantitative terms for continuous variables and the use of dummy variables for categorical variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 123,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[122].stims[0],"In a psychological study examining the effects of sleep, diet, and exercise on mood (measured on a numerical scale), which variable would be considered the dependent variable?",Choice pool (runtime order randomized): Mood || Sleep || Exercise || Diet,Mood,Correct,Yes,Mood,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 124,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[123].stims[0],What does a high Variance Inflation Factor (VIF) indicate in the context of multiple regression?,Choice pool (runtime order randomized): A high level of multicollinearity among the independent variables. || That the dependent variable is well-predicted by the independent variables. || A low level of correlation between the independent variables. || The model is perfectly specified without any omitted variables.,A high level of multicollinearity among the independent variables.,Correct,Yes,A high level of multicollinearity among the independent variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 125,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[124].stims[0],"A researcher is using multiple regression to predict job satisfaction (Y) based on hours of work per week (X₁), level of autonomy (X₂), and salary (X₃). What does a coefficient (β₂) value of 0.5 for the level of autonomy (X₂) imply?","Choice pool (runtime order randomized): For every one-unit increase in autonomy, job satisfaction increases by 0.5 units, holding all other variables constant. || Salary and hours of work per week have twice the impact on job satisfaction as autonomy. || Autonomy accounts for 50% of the variability in job satisfaction. || For every one-unit increase in autonomy, job satisfaction decreases by 0.5 units.","For every one-unit increase in autonomy, job satisfaction increases by 0.5 units, holding all other variables constant.",Correct,Yes,"For every one-unit increase in autonomy, job satisfaction increases by 0.5 units, holding all other variables constant.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 126,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[125].stims[0],"In psychological research, dummy coding is often used when including a categorical variable, such as marital status (single, married, divorced), in a multiple regression model. How many dummy variables are needed for marital status using reference (dummy) coding?",Choice pool (runtime order randomized): 2 || 4 || 1 || 3,2,Correct,Yes,2,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 127,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[126].stims[0],"In the context of multiple regression, what does the Adjusted R-squared measure provide that R-squared does not?","Choice pool (runtime order randomized): A measure of the proportion of variance in the dependent variable explained by all predictors, adjusted for the number of predictors. || The total variance in the dependent variable explained by the model. || The correlation coefficient between the observed and predicted values of the dependent variable. || A prediction of future observations based on the regression model.","A measure of the proportion of variance in the dependent variable explained by all predictors, adjusted for the number of predictors.",Correct,Yes,"A measure of the proportion of variance in the dependent variable explained by all predictors, adjusted for the number of predictors.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 128,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[127].stims[0],"Considering the assumptions of multiple regression, which of the following scenarios illustrates a violation of the independence of errors assumption?",Choice pool (runtime order randomized): The residuals for consecutive observations are correlated with each other. || The residuals from the regression model are randomly distributed. || The variance of residuals increases as the values of the independent variables increase. || All independent variables are uncorrelated with the error terms.,The residuals for consecutive observations are correlated with each other.,Correct,Yes,The residuals for consecutive observations are correlated with each other.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 129,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[128].stims[0],"A researcher is examining how study time (X₁), class attendance (X₂), and student motivation (X₃) affect final exam scores (Y) in a college course. Which of the following best describes a valid hypothesis for multiple regression analysis?","Choice pool (runtime order randomized): Final exam scores can be predicted by a combination of study time, class attendance, and student motivation, holding all other variables constant. || Student motivation is the only significant predictor of final exam scores among the three variables. || Study time will have a greater effect on final exam scores than class attendance or student motivation. || Study time, class attendance, and student motivation will have significant effects as a function of group without any interaction effects.","Final exam scores can be predicted by a combination of study time, class attendance, and student motivation, holding all other variables constant.",Correct,Yes,"Final exam scores can be predicted by a combination of study time, class attendance, and student motivation, holding all other variables constant.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 130,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[129].stims[0],"In the context of psychological research, an interaction effect in ANOVA suggests that:",Choice pool (runtime order randomized): The effect of one independent variable on the dependent variable changes depending on the level of another independent variable. || One variable has a greater effect on the outcome than another variable. || The independent variables have no effect on the dependent variable. || The effect of one independent variable on the dependent variable is consistent across all levels of another independent variable.,The effect of one independent variable on the dependent variable changes depending on the level of another independent variable.,Correct,Yes,The effect of one independent variable on the dependent variable changes depending on the level of another independent variable.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 131,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[130].stims[0],"When visualizing interaction effects in a factorial ANOVA, which pattern in an interaction plot indicates a significant interaction between two factors?",Choice pool (runtime order randomized): Lines that cross each other or are non-parallel. || A single line that represents the combined effect of both factors. || Lines that perfectly overlap each other. || Parallel lines that do not intersect.,Lines that cross each other or are non-parallel.,Problematic but salvageable,Partly,"Crossing or non-parallel lines suggest an interaction pattern, but significance requires the ANOVA test rather than the plot alone.",Partly,Misinterpretation,No formula needed,"A plot can suggest an interaction, but it does not establish statistical significance by itself.",,"Change ""indicates a significant interaction"" to ""suggests an interaction.""",Revise wording
Item 132,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[131].stims[0],A psychologist is investigating the effects of therapy type (Cognitive-Behavioral Therapy vs. Supportive Therapy) and session format (Individual vs. Group) on patient anxiety reduction. What kind of ANOVA design is being used?,Choice pool (runtime order randomized): Two-way ANOVA || Three-way ANOVA || One-way ANOVA || Mixed-design ANOVA,Two-way ANOVA,Correct,Yes,Two-way ANOVA,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 133,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[132].stims[0],"If a significant interaction is found in a two-way ANOVA, what is the next step to understand the specific nature of this interaction?",Choice pool (runtime order randomized): Perform simple effects tests to explore the interaction at each level of the factors. || Conduct a one-way ANOVA for each factor separately. || Increase the sample size to confirm the interaction. || Recode the dependent variable and rerun the ANOVA.,Perform simple effects tests to explore the interaction at each level of the factors.,Correct,Yes,Perform simple effects tests to explore the interaction at each level of the factors.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 134,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[133].stims[0],"In a study assessing the effectiveness of a new educational program, researchers found a significant interaction between the type of program (Experimental vs. Control) and the time of day the program was delivered (Morning vs. Afternoon). This means:","Choice pool (runtime order randomized): The effectiveness of the educational program depends on the time of day it is delivered. || The time of day has no impact on the effectiveness of any educational program. || The experimental program is less effective than the control program. || The program is equally effective, regardless of the time of day.",The effectiveness of the educational program depends on the time of day it is delivered.,Correct,Yes,The effectiveness of the educational program depends on the time of day it is delivered.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 135,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[134].stims[0],Which of the following is an example of a continuous-categorical interaction in psychological research?,"Choice pool (runtime order randomized): Studying the effect of sleep duration (continuous) on memory recall, varying by age group (categorical). || Measuring stress levels before and after meditation. || Assessing the relationship between study time and test scores without grouping participants. || Comparing anxiety levels between patients receiving different types of therapy.","Studying the effect of sleep duration (continuous) on memory recall, varying by age group (categorical).",Correct,Yes,"Studying the effect of sleep duration (continuous) on memory recall, varying by age group (categorical).",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 136,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[135].stims[0],"In factorial ANOVA, what does a three-way interaction allow researchers to examine?",Choice pool (runtime order randomized): How the interaction between two independent variables changes across levels of a third variable. || The direct comparison between three independent variables. || The main effect of each independent variable separately. || The combined effect of three independent variables on the dependent variable without considering any possible interactions.,How the interaction between two independent variables changes across levels of a third variable.,Correct,Yes,How the interaction between two independent variables changes across levels of a third variable.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 137,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[136].stims[0],A study on the impact of environmental noise (Low vs. High) and room lighting (Dim vs. Bright) on cognitive task performance reported a significant interaction effect. Which of the following conclusions is supported by this finding?,"Choice pool (runtime order randomized): The effect of environmental noise on cognitive task performance varies with the lighting condition. || Cognitive task performance is better in bright lighting, regardless of noise level. || The impact of noise level on cognitive task performance is the same in both dim and bright lighting. || Environmental noise only affects cognitive task performance in dim lighting.",The effect of environmental noise on cognitive task performance varies with the lighting condition.,Correct,Yes,The effect of environmental noise on cognitive task performance varies with the lighting condition.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
